Semestre,Cantidad de Egresados ,Programa 
2014-2,2,Doctorado en Ingeniería
2015-1,6,Doctorado en Ingeniería
2015-2,6,Doctorado en Ingeniería
2016-1,6,Doctorado en Ingeniería
2016-2,7,Doctorado en Ingeniería
2017-1,16,Doctorado en Ingeniería
2017-2,13,Doctorado en Ingeniería
2018-1,17,Doctorado en Ingeniería
2018-2,12,Doctorado en Ingeniería
2019-1,12,Doctorado en Ingeniería
2019-2,9,Doctorado en Ingeniería
2020-1,8,Doctorado en Ingeniería
2020-2,5,Doctorado en Ingeniería
2021-1,3,Doctorado en Ingeniería
2011-1,6,Especialización en Electrónica Digital
2020-1,5,Especialización en Electrónica Digital
2020-2,5,Especialización en Electrónica Digital
2010-1,15,Especialización en Redes de Datos
2010-2,6,Especialización en Redes de Datos
2011-1,17,Especialización en Redes de Datos
2011-2,18,Especialización en Redes de Datos
2012-1,18,Especialización en Redes de Datos
2013-1,2,Especialización en Redes de Datos
2014-1,7,Especialización en Redes de Datos
2014-2,7,Especialización en Redes de Datos
2015-1,7,Especialización en Redes de Datos
2021-1,6,Especialización en Redes de Datos
2019-2,1,Ingeniería Electrónica (Diurna)
2021-2,9,Ingeniería Electrónica (Diurna)
2010-1,16,Ingeniería Electrónica (Nocturno)
2010-2,28,Ingeniería Electrónica (Nocturno)
2011-1,41,Ingeniería Electrónica (Nocturno)
2011-2,50,Ingeniería Electrónica (Nocturno)
2012-1,45,Ingeniería Electrónica (Nocturno)
2012-2,36,Ingeniería Electrónica (Nocturno)
2013-1,39,Ingeniería Electrónica (Nocturno)
2013-2,20,Ingeniería Electrónica (Nocturno)
2014-1,21,Ingeniería Electrónica (Nocturno)
2014-2,27,Ingeniería Electrónica (Nocturno)
2015-1,34,Ingeniería Electrónica (Nocturno)
2015-2,28,Ingeniería Electrónica (Nocturno)
2016-1,32,Ingeniería Electrónica (Nocturno)
2016-2,18,Ingeniería Electrónica (Nocturno)
2017-1,14,Ingeniería Electrónica (Nocturno)
2017-2,14,Ingeniería Electrónica (Nocturno)
2018-1,16,Ingeniería Electrónica (Nocturno)
2018-2,11,Ingeniería Electrónica (Nocturno)
2019-1,13,Ingeniería Electrónica (Nocturno)
2019-2,13,Ingeniería Electrónica (Nocturno)
2020-1,18,Ingeniería Electrónica (Nocturno)
2020-2,14,Ingeniería Electrónica (Nocturno)
2021-1,24,Ingeniería Electrónica (Nocturno)
2021-2,21,Ingeniería Electrónica (Nocturno)
2010-1,120,Ingeniería Eléctrica
2010-2,97,Ingeniería Eléctrica
2011-1,100,Ingeniería Eléctrica
2011-2,89,Ingeniería Eléctrica
2012-1,98,Ingeniería Eléctrica
2012-2,97,Ingeniería Eléctrica
2013-1,129,Ingeniería Eléctrica
2013-2,103,Ingeniería Eléctrica
2014-1,90,Ingeniería Eléctrica
2014-2,138,Ingeniería Eléctrica
2015-1,152,Ingeniería Eléctrica
2015-2,120,Ingeniería Eléctrica
2016-1,124,Ingeniería Eléctrica
2016-2,98,Ingeniería Eléctrica
2017-1,132,Ingeniería Eléctrica
2017-2,125,Ingeniería Eléctrica
2018-1,159,Ingeniería Eléctrica
2018-2,136,Ingeniería Eléctrica
2019-1,131,Ingeniería Eléctrica
2019-2,78,Ingeniería Eléctrica
2020-1,106,Ingeniería Eléctrica
2020-2,74,Ingeniería Eléctrica
2021-1,97,Ingeniería Eléctrica
2021-2,101,Ingeniería Eléctrica
2010-1,30,Ingeniería Física
2010-2,17,Ingeniería Física
2011-1,22,Ingeniería Física
2011-2,23,Ingeniería Física
2012-1,18,Ingeniería Física
2012-2,24,Ingeniería Física
2013-1,32,Ingeniería Física
2013-2,20,Ingeniería Física
2014-1,21,Ingeniería Física
2014-2,32,Ingeniería Física
2015-1,42,Ingeniería Física
2015-2,22,Ingeniería Física
2016-1,27,Ingeniería Física
2016-2,17,Ingeniería Física
2017-1,19,Ingeniería Física
2017-2,14,Ingeniería Física
2018-1,30,Ingeniería Física
2018-2,26,Ingeniería Física
2019-1,23,Ingeniería Física
2019-2,23,Ingeniería Física
2020-1,33,Ingeniería Física
2020-2,19,Ingeniería Física
2021-1,29,Ingeniería Física
2021-2,40,Ingeniería Física
2010-1,119,Ingeniería de Sistemas y Computación
2010-2,111,Ingeniería de Sistemas y Computación
2011-1,126,Ingeniería de Sistemas y Computación
2011-2,94,Ingeniería de Sistemas y Computación
2012-1,89,Ingeniería de Sistemas y Computación
2012-2,68,Ingeniería de Sistemas y Computación
2013-1,87,Ingeniería de Sistemas y Computación
2013-2,67,Ingeniería de Sistemas y Computación
2014-1,59,Ingeniería de Sistemas y Computación
2014-2,74,Ingeniería de Sistemas y Computación
2015-1,92,Ingeniería de Sistemas y Computación
2015-2,61,Ingeniería de Sistemas y Computación
2016-1,70,Ingeniería de Sistemas y Computación
2016-2,45,Ingeniería de Sistemas y Computación
2017-1,54,Ingeniería de Sistemas y Computación
2017-2,38,Ingeniería de Sistemas y Computación
2018-1,49,Ingeniería de Sistemas y Computación
2018-2,41,Ingeniería de Sistemas y Computación
2019-1,60,Ingeniería de Sistemas y Computación
2019-2,45,Ingeniería de Sistemas y Computación
2020-1,55,Ingeniería de Sistemas y Computación
2020-2,42,Ingeniería de Sistemas y Computación
2021-1,71,Ingeniería de Sistemas y Computación
2021-2,77,Ingeniería de Sistemas y Computación
2021-2,16,Ingeniería de Sistemas y Computación (Convenio Cuba)
2010-1,24,Ingeniería de Sistemas y Computación (Nocturno)
2010-2,21,Ingeniería de Sistemas y Computación (Nocturno)
2011-1,22,Ingeniería de Sistemas y Computación (Nocturno)
2011-2,17,Ingeniería de Sistemas y Computación (Nocturno)
2012-1,19,Ingeniería de Sistemas y Computación (Nocturno)
2012-2,17,Ingeniería de Sistemas y Computación (Nocturno)
2013-1,12,Ingeniería de Sistemas y Computación (Nocturno)
2013-2,16,Ingeniería de Sistemas y Computación (Nocturno)
2014-1,20,Ingeniería de Sistemas y Computación (Nocturno)
2014-2,11,Ingeniería de Sistemas y Computación (Nocturno)
2015-1,14,Ingeniería de Sistemas y Computación (Nocturno)
2015-2,9,Ingeniería de Sistemas y Computación (Nocturno)
2016-1,9,Ingeniería de Sistemas y Computación (Nocturno)
2016-2,6,Ingeniería de Sistemas y Computación (Nocturno)
2017-1,10,Ingeniería de Sistemas y Computación (Nocturno)
2017-2,6,Ingeniería de Sistemas y Computación (Nocturno)
2018-1,15,Ingeniería de Sistemas y Computación (Nocturno)
2018-2,9,Ingeniería de Sistemas y Computación (Nocturno)
2019-1,11,Ingeniería de Sistemas y Computación (Nocturno)
2019-2,8,Ingeniería de Sistemas y Computación (Nocturno)
2020-1,8,Ingeniería de Sistemas y Computación (Nocturno)
2020-2,5,Ingeniería de Sistemas y Computación (Nocturno)
2021-1,14,Ingeniería de Sistemas y Computación (Nocturno)
2021-2,21,Ingeniería de Sistemas y Computación (Nocturno)
2010-1,19,Maestría en Ingeniería Eléctrica
2010-2,16,Maestría en Ingeniería Eléctrica
2011-1,16,Maestría en Ingeniería Eléctrica
2011-2,19,Maestría en Ingeniería Eléctrica
2012-1,17,Maestría en Ingeniería Eléctrica
2012-2,17,Maestría en Ingeniería Eléctrica
2013-1,12,Maestría en Ingeniería Eléctrica
2013-2,10,Maestría en Ingeniería Eléctrica
2014-1,13,Maestría en Ingeniería Eléctrica
2014-2,13,Maestría en Ingeniería Eléctrica
2015-1,23,Maestría en Ingeniería Eléctrica
2015-2,7,Maestría en Ingeniería Eléctrica
2016-1,15,Maestría en Ingeniería Eléctrica
2016-2,10,Maestría en Ingeniería Eléctrica
2017-1,9,Maestría en Ingeniería Eléctrica
2017-2,11,Maestría en Ingeniería Eléctrica
2018-1,16,Maestría en Ingeniería Eléctrica
2018-2,17,Maestría en Ingeniería Eléctrica
2019-1,17,Maestría en Ingeniería Eléctrica
2019-2,17,Maestría en Ingeniería Eléctrica
2020-1,17,Maestría en Ingeniería Eléctrica
2020-2,23,Maestría en Ingeniería Eléctrica
2021-1,26,Maestría en Ingeniería Eléctrica
2013-1,2,Maestría en Ingeniería de Sistemas y Computación
2013-2,12,Maestría en Ingeniería de Sistemas y Computación
2014-1,23,Maestría en Ingeniería de Sistemas y Computación
2014-2,35,Maestría en Ingeniería de Sistemas y Computación
2015-1,37,Maestría en Ingeniería de Sistemas y Computación
2015-2,43,Maestría en Ingeniería de Sistemas y Computación
2016-1,5,Maestría en Ingeniería de Sistemas y Computación
2016-2,16,Maestría en Ingeniería de Sistemas y Computación
2017-1,14,Maestría en Ingeniería de Sistemas y Computación
2017-2,17,Maestría en Ingeniería de Sistemas y Computación
2018-1,18,Maestría en Ingeniería de Sistemas y Computación
2018-2,27,Maestría en Ingeniería de Sistemas y Computación
2019-1,20,Maestría en Ingeniería de Sistemas y Computación
2019-2,27,Maestría en Ingeniería de Sistemas y Computación
2020-1,21,Maestría en Ingeniería de Sistemas y Computación
2020-2,14,Maestría en Ingeniería de Sistemas y Computación
2021-1,18,Maestría en Ingeniería de Sistemas y Computación