Cohorte,Numero de Graduados,Programa 
2016-2,2,Doctorado en Ingeniería
2016-1,1,Doctorado en Ingeniería
2015-2,2,Doctorado en Ingeniería
2015-1,2,Doctorado en Ingeniería
2014-1,6,Doctorado en Ingeniería
2013-2,4,Doctorado en Ingeniería
2013-1,3,Doctorado en Ingeniería
2012-2,2,Doctorado en Ingeniería
2012-1,1,Doctorado en Ingeniería
2011-2,5,Doctorado en Ingeniería
2019-2,1,Especialización en Electrónica Digital
2010-1,6,Especialización en Electrónica Digital
2019-1,7,Especialización en Redes de Datos
2013-2,7,Especialización en Redes de Datos
2011-1,1,Especialización en Redes de Datos
2010-2,10,Especialización en Redes de Datos
2009-2,11,Especialización en Redes de Datos
2009-1,1,Especialización en Redes de Datos
2018-1,1,Ingeniería Electrónica (Diurna)
2017-1,1,Ingeniería Electrónica (Diurna)
2018-2,1,Ingeniería Electrónica (Nocturno)
2015-2,3,Ingeniería Electrónica (Nocturno)
2015-1,16,Ingeniería Electrónica (Nocturno)
2014-2,4,Ingeniería Electrónica (Nocturno)
2014-1,9,Ingeniería Electrónica (Nocturno)
2013-2,3,Ingeniería Electrónica (Nocturno)
2013-1,14,Ingeniería Electrónica (Nocturno)
2012-2,10,Ingeniería Electrónica (Nocturno)
2012-1,14,Ingeniería Electrónica (Nocturno)
2011-2,8,Ingeniería Electrónica (Nocturno)
2011-1,10,Ingeniería Electrónica (Nocturno)
2010-2,3,Ingeniería Electrónica (Nocturno)
2010-1,8,Ingeniería Electrónica (Nocturno)
2018-1,8,Ingeniería Eléctrica
2017-2,9,Ingeniería Eléctrica
2017-1,12,Ingeniería Eléctrica
2016-2,8,Ingeniería Eléctrica
2016-1,17,Ingeniería Eléctrica
2015-2,14,Ingeniería Eléctrica
2015-1,35,Ingeniería Eléctrica
2014-2,32,Ingeniería Eléctrica
2014-1,41,Ingeniería Eléctrica
2013-2,45,Ingeniería Eléctrica
2013-1,43,Ingeniería Eléctrica
2012-2,48,Ingeniería Eléctrica
2012-1,43,Ingeniería Eléctrica
2011-2,31,Ingeniería Eléctrica
2011-1,35,Ingeniería Eléctrica
2010-2,37,Ingeniería Eléctrica
2010-1,40,Ingeniería Eléctrica
2017-2,1,Ingeniería Física
2016-1,15,Ingeniería Física
2015-2,5,Ingeniería Física
2015-1,29,Ingeniería Física
2014-1,25,Ingeniería Física
2013-1,36,Ingeniería Física
2012-2,1,Ingeniería Física
2012-1,32,Ingeniería Física
2011-2,1,Ingeniería Física
2011-1,26,Ingeniería Física
2010-2,1,Ingeniería Física
2010-1,19,Ingeniería Física
2018-2,1,Ingeniería de Sistemas y Computación
2018-1,1,Ingeniería de Sistemas y Computación
2016-2,3,Ingeniería de Sistemas y Computación
2016-1,25,Ingeniería de Sistemas y Computación
2015-2,19,Ingeniería de Sistemas y Computación
2015-1,31,Ingeniería de Sistemas y Computación
2014-2,21,Ingeniería de Sistemas y Computación
2014-1,43,Ingeniería de Sistemas y Computación
2013-2,26,Ingeniería de Sistemas y Computación
2013-1,41,Ingeniería de Sistemas y Computación
2012-2,28,Ingeniería de Sistemas y Computación
2012-1,32,Ingeniería de Sistemas y Computación
2011-2,30,Ingeniería de Sistemas y Computación
2011-1,29,Ingeniería de Sistemas y Computación
2010-2,37,Ingeniería de Sistemas y Computación
2010-1,45,Ingeniería de Sistemas y Computación
2016-2,1,Ingeniería de Sistemas y Computación (Nocturno)
2016-1,1,Ingeniería de Sistemas y Computación (Nocturno)
2015-2,2,Ingeniería de Sistemas y Computación (Nocturno)
2015-1,8,Ingeniería de Sistemas y Computación (Nocturno)
2014-2,5,Ingeniería de Sistemas y Computación (Nocturno)
2014-1,2,Ingeniería de Sistemas y Computación (Nocturno)
2013-2,9,Ingeniería de Sistemas y Computación (Nocturno)
2013-1,5,Ingeniería de Sistemas y Computación (Nocturno)
2012-2,10,Ingeniería de Sistemas y Computación (Nocturno)
2012-1,11,Ingeniería de Sistemas y Computación (Nocturno)
2011-2,7,Ingeniería de Sistemas y Computación (Nocturno)
2011-1,10,Ingeniería de Sistemas y Computación (Nocturno)
2010-2,7,Ingeniería de Sistemas y Computación (Nocturno)
2010-1,11,Ingeniería de Sistemas y Computación (Nocturno)
2019-1,5,Maestría en Ingeniería Eléctrica
2018-2,3,Maestría en Ingeniería Eléctrica
2018-1,13,Maestría en Ingeniería Eléctrica
2017-2,8,Maestría en Ingeniería Eléctrica
2017-1,11,Maestría en Ingeniería Eléctrica
2016-2,11,Maestría en Ingeniería Eléctrica
2016-1,5,Maestría en Ingeniería Eléctrica
2015-2,2,Maestría en Ingeniería Eléctrica
2015-1,4,Maestría en Ingeniería Eléctrica
2014-2,8,Maestría en Ingeniería Eléctrica
2014-1,6,Maestría en Ingeniería Eléctrica
2013-2,17,Maestría en Ingeniería Eléctrica
2013-1,6,Maestría en Ingeniería Eléctrica
2012-2,6,Maestría en Ingeniería Eléctrica
2012-1,7,Maestría en Ingeniería Eléctrica
2011-2,3,Maestría en Ingeniería Eléctrica
2011-1,12,Maestría en Ingeniería Eléctrica
2010-2,11,Maestría en Ingeniería Eléctrica
2010-1,9,Maestría en Ingeniería Eléctrica
2019-2,1,Maestría en Ingeniería de Sistemas y Computación
2018-2,1,Maestría en Ingeniería de Sistemas y Computación
2018-1,4,Maestría en Ingeniería de Sistemas y Computación
2017-2,6,Maestría en Ingeniería de Sistemas y Computación
2017-1,9,Maestría en Ingeniería de Sistemas y Computación
2016-1,10,Maestría en Ingeniería de Sistemas y Computación
2015-1,9,Maestría en Ingeniería de Sistemas y Computación
2014-1,7,Maestría en Ingeniería de Sistemas y Computación
2013-1,5,Maestría en Ingeniería de Sistemas y Computación
2012-2,9,Maestría en Ingeniería de Sistemas y Computación
2011-2,7,Maestría en Ingeniería de Sistemas y Computación
2010-2,16,Maestría en Ingeniería de Sistemas y Computación