TipoDeVinculacion,Sexo,CantidadDeDocentes,Semestre
Cátedra,Femenino,24,2021-1
Cátedra,Masculino,84,2021-1
Planta,Femenino,1,2021-1
Planta,Masculino,28,2021-1
Transitorio,Femenino,2,2021-1
Transitorio,Masculino,27,2021-1
Cátedra,Femenino,26,2020-1
Cátedra,Masculino,84,2020-1
Planta,Femenino,1,2020-1
Planta,Masculino,28,2020-1
Transitorio,Femenino,2,2020-1
Transitorio,Masculino,25,2020-1
Cátedra,Femenino,27,2020-2
Cátedra,Masculino,89,2020-2
Planta,Femenino,1,2020-2
Planta,Masculino,28,2020-2
Transitorio,Femenino,2,2020-2
Transitorio,Masculino,27,2020-2
Cátedra,Femenino,21,2019-1
Cátedra,Masculino,80,2019-1
Planta,Femenino,1,2019-1
Planta,Masculino,30,2019-1
Transitorio,Femenino,3,2019-1
Transitorio,Masculino,24,2019-1
Cátedra,Femenino,21,2019-2
Cátedra,Masculino,80,2019-2
Planta,Femenino,1,2019-2
Planta,Masculino,28,2019-2
Transitorio,Femenino,3,2019-2
Transitorio,Masculino,25,2019-2
Cátedra,Femenino,25,2018-1
Cátedra,Masculino,76,2018-1
Planta,Femenino,1,2018-1
Planta,Masculino,30,2018-1
Transitorio,Femenino,3,2018-1
Transitorio,Masculino,23,2018-1
Cátedra,Femenino,23,2018-2
Cátedra,Masculino,70,2018-2
Planta,Femenino,1,2018-2
Planta,Masculino,30,2018-2
Transitorio,Femenino,3,2018-2
Transitorio,Masculino,23,2018-2
Cátedra,Femenino,20,2017-1
Cátedra,Masculino,75,2017-1
Planta,Femenino,1,2017-1
Planta,Masculino,30,2017-1
Transitorio,Femenino,5,2017-1
Transitorio,Masculino,22,2017-1
Cátedra,Femenino,21,2017-2
Cátedra,Masculino,74,2017-2
Planta,Femenino,1,2017-2
Planta,Masculino,30,2017-2
Transitorio,Femenino,4,2017-2
Transitorio,Masculino,22,2017-2
Cátedra,Femenino,20,2016-1
Cátedra,Masculino,69,2016-1
Planta,Femenino,1,2016-1
Planta,Masculino,31,2016-1
Transitorio,Femenino,6,2016-1
Transitorio,Masculino,17,2016-1
Cátedra,Femenino,18,2016-2
Cátedra,Masculino,64,2016-2
Planta,Femenino,1,2016-2
Planta,Masculino,31,2016-2
Transitorio,Femenino,5,2016-2
Transitorio,Masculino,20,2016-2
Cátedra,Femenino,18,2015-1
Cátedra,Masculino,65,2015-1
Planta,Femenino,1,2015-1
Planta,Masculino,31,2015-1
Transitorio,Femenino,6,2015-1
Transitorio,Masculino,17,2015-1
Cátedra,Femenino,24,2015-2
Cátedra,Masculino,64,2015-2
Planta,Femenino,1,2015-2
Planta,Masculino,31,2015-2
Transitorio,Femenino,5,2015-2
Transitorio,Masculino,17,2015-2
Cátedra,Femenino,15,2014-1
Cátedra,Masculino,76,2014-1
Planta,Femenino,1,2014-1
Planta,Masculino,31,2014-1
Transitorio,Femenino,5,2014-1
Transitorio,Masculino,15,2014-1
Cátedra,Femenino,16,2014-2
Cátedra,Masculino,77,2014-2
Planta,Femenino,1,2014-2
Planta,Masculino,31,2014-2
Transitorio,Femenino,6,2014-2
Transitorio,Masculino,14,2014-2
Cátedra,Femenino,14,2013-1
Cátedra,Masculino,70,2013-1
Planta,Femenino,1,2013-1
Planta,Masculino,27,2013-1
Transitorio,Femenino,5,2013-1
Transitorio,Masculino,18,2013-1
Cátedra,Femenino,16,2013-2
Cátedra,Masculino,76,2013-2
Planta,Femenino,1,2013-2
Planta,Masculino,31,2013-2
Transitorio,Femenino,5,2013-2
Transitorio,Masculino,14,2013-2
Cátedra,Femenino,15,2012-1
Cátedra,Masculino,59,2012-1
Planta,Femenino,1,2012-1
Planta,Masculino,27,2012-1
Transitorio,Femenino,3,2012-1
Transitorio,Masculino,20,2012-1
Cátedra,Femenino,15,2012-1
Cátedra,Masculino,75,2012-1
Planta,Femenino,1,2012-1
Planta,Masculino,27,2012-1
Transitorio,Femenino,4,2012-1
Transitorio,Masculino,19,2012-1
Cátedra,Femenino,16,2011-1
Cátedra,Masculino,67,2011-1
Planta,Femenino,1,2011-1
Planta,Masculino,27,2011-1
Transitorio,Femenino,4,2011-1
Transitorio,Masculino,20,2011-1
Cátedra,Femenino,15,2011-2
Cátedra,Masculino,73,2011-2
Planta,Femenino,1,2011-2
Planta,Masculino,27,2011-2
Transitorio,Femenino,4,2011-2
Transitorio,Masculino,20,2011-2
Cátedra,Femenino,20,2010-1
Cátedra,Masculino,39,2010-1
Planta,Femenino,1,2010-1
Planta,Masculino,26,2010-1
Transitorio,Femenino,4,2010-1
Transitorio,Masculino,15,2010-1
Cátedra,Femenino,23,2010-2
Cátedra,Masculino,73,2010-2
Planta,Femenino,1,2010-2
Planta,Masculino,26,2010-2
Transitorio,Femenino,3,2010-2
Transitorio,Masculino,14,2010-2