Nivel,ProgramaAcademico,Estado,EstadoRegistroCalificado,ResolucionRegistroCalificado,Año
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,29805 DEL 29-DIC-2017,2021
Pregrado,Ingeniería Electrónica (Diurna),Ofrecido,Activo,04841 DEL 14-MAR-2016,2021
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),2021
Pregrado,Ingeniería Física,Ofrecido,Activo,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),2021
Pregrado,Tecnología en Desarrollo de Software,Ofrecido,Activo,149 DEL 16-ENE-2017,2021
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,012606 DEL 03-AGO-2018,2021
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),2021
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),2021
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2021
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,009944 DEL 17-JUN-2020,2021
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,29805 DEL 29-DIC-2017,2020
Pregrado,Ingeniería Electrónica (Diurna),Ofrecido,Activo,04841 DEL 14-MAR-2016,2020
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),2020
Pregrado,Ingeniería Física,Ofrecido,Activo,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),2020
Pregrado,Tecnología en Desarrollo de Software,Ofrecido,Activo,149 DEL 16-ENE-2017,2020
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,012606 DEL 03-AGO-2018,2020
Posgrado,Especialización en Electrónica Digital,Ofrecido,Activo,7436 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),2020
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013 (RC con fecha de finalización extendida por decreto 1330 de 2019),2020
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2020
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,009944 DEL 17-JUN-2020,2020
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,29805 DEL 29-DIC-2017,2019
Pregrado,Ingeniería Electrónica (Diurna),Ofrecido,Activo,04841 DEL 14-MAR-2016,2019
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),2019
Pregrado,Ingeniería Física,Ofrecido,Activo,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),2019
Pregrado,Tecnología en Desarrollo de Software,Ofrecido,Activo,149 DEL 16-ENE-2017,2019
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,012606 DEL 03-AGO-2018,2019
Posgrado,Especialización en Electrónica Digital,Ofrecido,Activo,7436 DEL 14-JUN-2013,2019
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2019
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2019
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2019
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,29805 DEL 29-DIC-2017,2018
Pregrado,Ingeniería Electrónica (Diurna),Ofrecido,Activo,04841 DEL 14-MAR-2016,2018
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,08083 DEL 07-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 11956 del 16-JUN-2016),2018
Pregrado,Ingeniería Física,Ofrecido,Activo,08054 DEL 17-MAY-2018  (La fecha de inicio empieza a partir de la Resolución 18212 del 13-SEP-2017),2018
Pregrado,Tecnología en Desarrollo de Software,No ofrecido,Activo,149 DEL 16-ENE-2017,2018
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,012606 DEL 03-AGO-2018,2018
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2018
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2018
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2018
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2018
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",2017
Pregrado,Ingeniería Electrónica (Diurna),Ofrecido,Activo,04841 DEL 14-MAR-2016,2017
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEPT-2012,2017
Pregrado,Ingeniería Física,Ofrecido,Activo,10959 DEL 11-SEP-2012,2017
Pregrado,Tecnología en Desarrollo de Software,No ofrecido,Activo,149 DEL 16-ENE-2017,2017
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2017
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2017
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2017
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2017
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2017
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",2016
Pregrado,Ingeniería Electrónica (Diurna),Ofrecido,Activo,04841 DEL 14-MAR-2016,2016
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEP-2012,2016
Pregrado,Ingeniería Física,Ofrecido,Activo,5733 DEL 13-JUL-2011,2016
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2016
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2016
Posgrado,Especialización en Redes de Datos,No ofrecido,Activo,7437 DEL 14-JUN-2013,2016
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2016
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2016
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",2015
Pregrado,Ingeniería Electrónica (Nocturno),Ofrecido,Activo,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",2015
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEP-2012,2015
Pregrado,Ingeniería Física,Ofrecido,Activo,5733 DEL 13-JUL-2011,2015
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2015
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2015
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2015
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,7520 DEL 16-OCT-2009,2015
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2015
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",2014
Pregrado,Ingeniería Electrónica (Nocturno),Ofrecido,Activo,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",2014
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEP-2012,2014
Pregrado,Ingeniería Física,Ofrecido,Activo,5733 DEL 13-JUL-2011,2014
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2014
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2014
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2014
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,7520 DEL 16-OCT-2009,2014
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2014