Programa,Semestre,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Doctorado en Ingeniería,2021-1,,,,,1,1
Especialización en Electrónica Digital,2021-1,,1,,,,1
Maestría en Ingeniería Eléctrica,2021-1,,,1,4,2,7
Maestría en Ingeniería de Sistemas y Computación,2021-1,,2,1,1,1,5
Doctorado en Ingeniería,2021-2,,,,,1,1
Maestría en Ingeniería Eléctrica,2021-2,,,1,3,,4
Maestría en Ingeniería de Sistemas y Computación,2021-2,1,,,2,1,4
Doctorado en Ingeniería,2020-1,,,,,2,2
Maestría en Ingeniería Eléctrica,2020-1,,,,1,,1
Maestría en Ingeniería de Sistemas y Computación,2020-1,,,,4,3,7
Doctorado en Ingeniería,2020-2,,,,,6,6
Maestría en Ingeniería Eléctrica,2020-2,,1,4,11,3,19
Maestría en Ingeniería de Sistemas y Computación,2020-2,,,,1,1,2
Doctorado en Ingeniería,2019-1,,,,,3,3
Especialización en Redes de Datos,2019-1,,,,,1,1
Maestría en Ingeniería Eléctrica,2019-1,,,,5,5,10
Maestría en Ingeniería de Sistemas y Computación,2019-1,,,,3,7,10
Doctorado en Ingeniería,2019-2,,,,,5,5
Especialización en Redes de Datos,2019-2,,,,4,5,9
Maestría en Ingeniería Eléctrica,2019-2,,,2,11,4,17
Maestría en Ingeniería de Sistemas y Computación,2019-2,,,,,1,1
Especialización en Redes de Datos,2018-1,,,,,1,1
Maestría en Ingeniería Eléctrica,2018-1,,,,,4,4
Maestría en Ingeniería de Sistemas y Computación,2018-1,,,,,9,9
Doctorado en Ingeniería,2018-2,,,,,5,5
Maestría en Ingeniería Eléctrica,2018-2,,,,8,6,14
Maestría en Ingeniería de Sistemas y Computación,2018-2,,,,3,6,9
Especialización en Redes de Datos,2017-1,,,,,4,4
Maestría en Ingeniería Eléctrica,2017-1,,,,1,2,3
Maestría en Ingeniería de Sistemas y Computación,2017-1,,,,1,4,5
Doctorado en Ingeniería,2017-2,,,,,4,4
Maestría en Ingeniería Eléctrica,2017-2,,,,3,8,11
Maestría en Ingeniería de Sistemas y Computación,2017-2,,,,1,11,12
Maestría en Ingeniería Eléctrica,2016-1,,,,1,3,4
Doctorado en Ingeniería,2016-2,,,,,1,1
Maestría en Ingeniería Eléctrica,2016-2,,,,5,5,10
Maestría en Ingeniería de Sistemas y Computación,2016-2,,,,,3,3
Maestría en Ingeniería Eléctrica,2015-1,,,,,3,3
Maestría en Ingeniería de Sistemas y Computación,2015-1,,,,,2,2
Especialización en Redes de Datos,2015-2,,,,,7,7
Maestría en Ingeniería Eléctrica,2015-2,,,,10,11,21
Maestría en Ingeniería de Sistemas y Computación,2015-2,,,,,7,7
Especialización en Redes de Datos,2014-1,,,,,4,4
Maestría en Ingeniería Eléctrica,2014-1,,,,,10,10
Maestría en Ingeniería de Sistemas y Computación,2014-1,,,,,3,3
Especialización en Electrónica Digital,2014-2,,,,,1,1
Especialización en Redes de Datos,2014-2,,,,,2,2
Maestría en Ingeniería Eléctrica,2014-2,,,,4,9,13
Maestría en Ingeniería de Sistemas y Computación,2014-2,,,,,2,2
Especialización en Redes de Datos,2013-1,,,,,2,2
Maestría en Ingeniería Eléctrica,2013-1,,,,,6,6
Especialización en Electrónica Digital,2013-2,,,,,5,5
Especialización en Redes de Datos,2013-2,,,,,4,4
Maestría en Ingeniería Eléctrica,2013-2,,,,,18,18
Maestría en Ingeniería de Sistemas y Computación,2013-2,,,,,3,3
Maestría en Ingeniería Eléctrica,2012-1,,,,,2,2
Maestría en Ingeniería Eléctrica,2012-2,,,,,9,9
Especialización en Redes de Datos,2011-2,,,,,3,3
Maestría en Ingeniería Eléctrica,2011-2,,,,,6,6
Maestría en Ingeniería Eléctrica,2010-1,,,,,6,6
Maestría en Ingeniería Eléctrica,2010-2,,,,,2,2