Programa,Semestre,MenorA17,Edad18,Edad19,Edad20,Edad21,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Doctorado en Ingeniería,2021-1,2,,1,,,,,,,3,3,9
Especialización en Redes de Datos,2021-1,1,,,,,,,1,,,1,3
Maestría en Ingeniería Eléctrica,2021-1,2,,1,,3,5,3,4,1,3,2,24
Maestría en Ingeniería de Sistemas y Computación,2021-1,1,,1,,,,1,2,1,1,6,13
Doctorado en Ingeniería,2021-2,,,,,,,,,1,1,7,9
Especialización en Redes de Datos,2021-2,,,,,2,2,,2,,10,5,21
Maestría en Ingeniería Eléctrica,2021-2,,,1,,,2,3,1,1,5,5,18
Maestría en Ingeniería de Sistemas y Computación,2021-2,,,,,,,,,,1,1,2
Doctorado en Ingeniería,2020-1,,,,,,,,,,4,6,10
Especialización en Electrónica Digital,2020-1,,,,,,,1,,,1,2,4
Especialización en Redes de Datos,2020-1,,,,,,,,1,,,,1
Maestría en Ingeniería Eléctrica,2020-1,,,,,,2,3,6,3,11,,25
Maestría en Ingeniería de Sistemas y Computación,2020-1,,,,,,,1,2,,12,13,28
Doctorado en Ingeniería,2020-2,,,,,,,,,3,6,20,29
Especialización en Electrónica Digital,2020-2,,,,,,,1,,1,4,2,8
Especialización en Redes de Datos,2020-2,,,,,,,,1,1,3,9,14
Maestría en Ingeniería Eléctrica,2020-2,1,,,,,1,9,2,3,10,20,46
Maestría en Ingeniería de Sistemas y Computación,2020-2,,,,,,1,2,1,2,2,6,14
Doctorado en Ingeniería,2019-1,,,,,,,,,,1,4,5
Especialización en Redes de Datos,2019-1,,,,,,,,,,7,21,28
Maestría en Ingeniería Eléctrica,2019-1,,,,,,,,3,4,11,2,20
Maestría en Ingeniería de Sistemas y Computación,2019-1,,,,,,,2,3,4,3,7,19
Especialización en Electrónica Digital,2019-2,,,,,,,,2,1,2,6,11
Maestría en Ingeniería Eléctrica,2019-2,,,,,,,2,2,2,1,,7
Maestría en Ingeniería de Sistemas y Computación,2019-2,,,,,,,1,2,5,8,6,22
Maestría en Ingeniería Eléctrica,2018-1,,,,,,,,,4,20,6,30
Maestría en Ingeniería de Sistemas y Computación,2018-1,,,,,,,,2,3,9,8,22
Doctorado en Ingeniería,2018-2,,,,,,,,,,,5,5
Maestría en Ingeniería Eléctrica,2018-2,,,,,,,,,1,7,2,10
Maestría en Ingeniería de Sistemas y Computación,2018-2,,,,,,,1,1,1,7,13,23
Doctorado en Ingeniería,2017-1,,,,,,,,,,3,4,7
Maestría en Ingeniería Eléctrica,2017-1,,,,,,,,,1,12,11,24
Maestría en Ingeniería de Sistemas y Computación,2017-1,,,,,,,,,,11,15,26
Doctorado en Ingeniería,2017-2,,,,,,,,,,,2,2
Maestría en Ingeniería Eléctrica,2017-2,,,,,,,,,3,13,3,19
Maestría en Ingeniería de Sistemas y Computación,2017-2,,,,,,,,,,5,10,15
Doctorado en Ingeniería,2016-1,,,,,,,,,,,10,10
Maestría en Ingeniería Eléctrica,2016-1,,,,,,,,,,8,4,12
Maestría en Ingeniería de Sistemas y Computación,2016-1,,,,,,,,,,7,18,25
Doctorado en Ingeniería,2016-2,,,,,,,,,,2,3,5
Maestría en Ingeniería Eléctrica,2016-2,,,,,,,,,,,1,1
Maestría en Ingeniería de Sistemas y Computación,2016-2,,,,,,,,,,11,6,17
Doctorado en Ingeniería,2015-1,,,,,,,,,,,6,6
Maestría en Ingeniería Eléctrica,2015-1,,,,,,,,,,5,5,10
Maestría en Ingeniería de Sistemas y Computación,2015-1,,,,,,,,,,8,16,24
Doctorado en Ingeniería,2015-2,,,,,,,,,,,3,3
Maestría en Ingeniería Eléctrica,2015-2,,,,,,,,,,5,3,8
Doctorado en Ingeniería,2014-1,,,,,,,,,,,6,6
Maestría en Ingeniería Eléctrica,2014-1,,,,,,,,,,5,4,9
Maestría en Ingeniería de Sistemas y Computación,2014-1,,,,,,,,,,6,21,27
Maestría en Ingeniería Eléctrica,2014-2,,,,,,,,,,6,4,10
Doctorado en Ingeniería,2013-1,,,,,,,,,,,4,4
Maestría en Ingeniería Eléctrica,2013-1,,,,,,,,,,2,13,15
Maestría en Ingeniería de Sistemas y Computación,2013-1,,,,,,,,,,1,25,26
Doctorado en Ingeniería,2013-2,,,,,,,,,,,6,6
Especialización en Redes de Datos,2013-2,,,,,,,,,,,16,16
Maestría en Ingeniería Eléctrica,2013-2,,,,,,,,,,12,9,21
Doctorado en Ingeniería,2012-1,,,,,,,,,,,2,2
Especialización en Redes de Datos,2012-1,,,,,,,,,,,1,1
Maestría en Ingeniería Eléctrica,2012-1,,,,,,,,,,,8,8
Doctorado en Ingeniería,2012-2,,,,,,,,,,,9,9
Maestría en Ingeniería Eléctrica,2012-2,,,,,,,,,,1,12,13
Maestría en Ingeniería de Sistemas y Computación,2012-2,,,,,,,,,,1,17,18
Especialización en Electrónica Digital,2011-1,,,,,,,,,,,2,2
Especialización en Redes de Datos,2011-1,,,,,,,,,,,10,10
Maestría en Ingeniería Eléctrica,2011-1,,,,,,,,,,,22,22
Maestría en Ingeniería de Sistemas y Computación,2011-1,,,,,,,,,,,9,9
Doctorado en Ingeniería,2011-2,,,,,,,,,,,10,10
Maestría en Ingeniería Eléctrica,2011-2,,,,,,,,,,1,8,9
Maestría en Ingeniería de Sistemas y Computación,2011-2,,,,,,,,,,,21,21
Especialización en Electrónica Digital,2010-1,,,,,,,,,,,1,1
Especialización en Redes de Datos,2010-1,,,,,,,,,,,2,2
Maestría en Ingeniería Eléctrica,2010-1,,,,,,,,,,,20,20
Especialización en Redes de Datos,2010-2,,,,,,,,,,,13,13
Maestría en Ingeniería Eléctrica,2010-2,,,,,,,,,,,20,20
Maestría en Ingeniería de Sistemas y Computación,2010-2,,,,,,,,,,,34,34