Semestre ,General,RestoRisaralda,RegimenEspecial,Total
2022-1,8,0,1,9
2021-2,649,24,33,706
2021-1,1213,57,53,1323
2020-2,646,22,47,715
2020-1,698,43,49,790
2019-2,431,14,26,471
2019-1,768,35,32,835
2018-2,389,17,23,429
2018-1,903,45,49,997
2017-2,418,15,31,464
2017-1,1057,85,47,1189
2016-2,522,36,23,581
2016-1,884,29,31,944
2015-2,345,13,22,380
2015-1,729,30,26,785
2014-2,337,13,16,366
2014-1,535,27,19,581
2013-2,383,14,13,410
2013-1,615,34,14,663
2012-2,412,13,17,442
2012-1,600,22,11,633
2011-2,466,22,14,502
2011-1,678,44,15,737
2010-2,440,30,12,482
2010-1,610,61,14,685