Semestre ,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
2022-1,1,1,2,3,1,1,0,9
2021-2,48,189,291,139,23,10,6,706
2021-1,44,410,581,215,50,17,6,1323
2020-2,41,187,257,159,48,18,5,715
2020-1,5,249,313,161,46,8,8,790
2019-2,4,127,189,104,40,6,1,471
2019-1,6,239,340,163,59,21,7,835
2018-2,2,110,189,82,33,9,4,429
2018-1,8,327,426,171,45,15,5,997
2017-2,3,112,198,101,36,10,4,464
2017-1,16,259,551,264,85,9,5,1189
2016-2,0,141,283,88,59,7,3,581
2016-1,1,185,460,183,83,19,13,944
2015-2,0,78,172,82,39,7,2,380
2015-1,0,153,360,144,100,21,7,785
2014-2,0,79,177,76,32,2,0,366
2014-1,0,107,269,125,68,11,1,581
2013-2,0,73,182,90,56,8,1,410
2013-1,0,112,283,155,86,17,4,657
2012-2,0,82,185,89,72,12,2,442
2012-1,0,91,269,164,85,20,4,633
2011-2,0,99,201,126,60,12,4,502
2011-1,0,123,304,180,97,24,9,737
2010-2,0,70,201,199,73,15,4,562
2010-1,0,125,265,185,83,22,5,685