Semestre ,Posgrado,Pregrado,Total
2022-1,9,0,9
2021-2,66,640,706
2021-1,49,1274,1323
2020-2,110,605,715
2020-1,68,722,790
2019-2,40,431,471
2019-1,72,763,835
2018-2,38,391,429
2018-1,52,945,997
2017-2,36,428,464
2017-1,57,1132,1189
2016-2,23,558,581
2016-1,47,897,944
2015-2,11,369,380
2015-1,40,745,785
2014-2,10,356,366
2014-1,42,539,581
2013-2,43,367,410
2013-1,45,618,663
2012-2,40,402,442
2012-1,11,622,633
2011-2,40,462,502
2011-1,43,694,737
2010-2,67,415,482
2010-1,23,662,685