Semestre,General,RestoRisaralda,RegimenEspecial,Total
2021-2,2663,218,194,3075
2021-1,2611,221,191,3023
2020-2,2726,204,193,3123
2020-1,2601,196,160,2957
2019-2,2468,182,150,2800
2019-1,2552,189,146,2887
2018-2,2498,182,137,2817
2018-1,2608,194,131,2933
2017-2,2603,186,120,2909
2017-1,2646,200,109,2955
2016-2,2491,154,96,2741
2016-1,2547,165,94,2806
2015-2,2466,164,90,2720
2015-1,2532,171,88,2791
2014-2,2363,171,80,2614
2014-1,2553,181,87,2821
2013-2,2286,155,75,2516
2013-1,2359,156,74,2589
2012-2,2240,143,72,2455
2012-1,2194,149,68,2411
2011-2,2288,143,71,2502
2011-1,2293,141,59,2493
2010-2,2204,109,54,2367
2010-1,2256,116,51,2423