Semestre,Posgrado,Pregrado,Total
2021-2,113,2962,3075
2021-1,201,2822,3023
2020-2,218,2902,3120
2020-1,194,2763,2957
2019-2,183,2617,2800
2019-1,195,2692,2887
2018-2,177,2640,2817
2018-1,181,2752,2933
2017-2,162,2747,2909
2017-1,162,2793,2955
2016-2,122,2619,2741
2016-1,112,2694,2806
2015-2,137,2583,2720
2015-1,156,2635,2791
2014-2,150,2464,2614
2014-1,156,2665,2821
2013-2,130,2386,2516
2013-1,120,2469,2589
2012-2,110,2345,2455
2012-1,76,2335,2411
2011-2,128,2374,2502
2011-1,122,2371,2493
2010-2,110,2257,2367
2010-1,80,2343,2423