Programa,Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
Doctorado en Ingeniería,2020-1,0,0,1,7,19,3,2,32
Especialización en Electrónica Digital,2020-1,0,2,2,1,0,0,0,5
Especialización en Redes de Datos,2020-1,0,0,0,1,0,0,0,1
Maestría en Ingeniería Eléctrica,2020-1,0,9,24,26,9,2,1,71
Maestría en Ingeniería de Sistemas y Computación,2020-1,0,2,27,27,18,8,3,85
Doctorado en Ingeniería,2020-2,0,0,1,8,18,3,2,32
Especialización en Electrónica Digital,2020-2,0,2,2,4,1,1,0,10
Especialización en Redes de Datos,2020-2,0,0,2,1,2,1,0,6
Maestría en Ingeniería Eléctrica,2020-2,1,10,35,39,17,3,1,106
Maestría en Ingeniería de Sistemas y Computación,2020-2,0,3,19,25,10,5,2,64
Especialización en Electrónica Digital,2010-1,0,0,1,1,4,1,0,7
Especialización en Redes de Datos,2010-1,0,0,2,5,8,0,0,15
Maestría en Ingeniería Eléctrica,2010-1,1,5,10,20,16,4,2,58
Especialización en Electrónica Digital,2010-2,0,0,1,1,4,1,0,7
Especialización en Redes de Datos,2010-2,0,0,1,5,9,2,0,17
Maestría en Ingeniería Eléctrica,2010-2,1,3,14,19,16,6,2,61
Maestría en Ingeniería de Sistemas y Computación,2010-2,0,1,6,10,6,2,0,25
Especialización en Electrónica Digital,2011-1,0,0,1,1,3,1,0,6
Especialización en Redes de Datos,2011-1,0,1,1,5,9,2,0,18
Maestría en Ingeniería Eléctrica,2011-1,2,2,16,27,20,4,2,73
Maestría en Ingeniería de Sistemas y Computación,2011-1,0,1,6,10,6,2,0,25
Doctorado en Ingeniería,2011-2,0,0,0,1,2,2,1,6
Especialización en Redes de Datos,2011-2,0,1,3,8,13,2,0,27
Maestría en Ingeniería Eléctrica,2011-2,0,3,16,20,11,4,1,55
Maestría en Ingeniería de Sistemas y Computación,2011-2,0,1,8,11,14,5,1,40
Doctorado en Ingeniería,2012-1,0,0,1,2,3,1,0,7
Especialización en Electrónica Digital,2012-1,0,1,1,3,1,0,0,6
Especialización en Redes de Datos,2012-1,1,1,5,9,2,0,0,18
Maestría en Ingeniería Eléctrica,2012-1,3,9,18,11,3,1,0,45
Doctorado en Ingeniería,2012-2,0,0,0,2,5,4,1,12
Especialización en Redes de Datos,2012-2,0,0,0,1,1,0,0,2
Maestría en Ingeniería Eléctrica,2012-2,1,2,10,16,12,2,2,45
Maestría en Ingeniería de Sistemas y Computación,2012-2,0,1,11,13,19,7,0,51
Doctorado en Ingeniería,2013-1,0,0,0,2,6,5,2,15
Especialización en Electrónica Digital,2013-1,0,0,1,1,3,1,0,6
Especialización en Redes de Datos,2013-1,0,1,0,2,4,0,0,7
Maestría en Ingeniería Eléctrica,2013-1,0,2,12,19,15,5,0,53
Maestría en Ingeniería de Sistemas y Computación,2013-1,0,0,10,9,16,4,0,39
Doctorado en Ingeniería,2013-2,0,0,0,3,8,5,2,18
Especialización en Redes de Datos,2013-2,0,1,0,3,4,2,0,10
Maestría en Ingeniería Eléctrica,2013-2,3,4,9,18,15,7,0,56
Maestría en Ingeniería de Sistemas y Computación,2013-2,0,0,11,10,20,5,0,46
Doctorado en Ingeniería,2014-1,0,0,1,4,11,6,2,24
Especialización en Redes de Datos,2014-1,0,1,0,3,4,1,0,9
Maestría en Ingeniería Eléctrica,2014-1,2,6,10,19,14,5,0,56
Maestría en Ingeniería de Sistemas y Computación,2014-1,0,2,16,18,24,7,0,67
Doctorado en Ingeniería,2014-2,0,0,0,4,11,6,2,23
Especialización en Redes de Datos,2014-2,0,1,0,3,4,2,0,10
Maestría en Ingeniería Eléctrica,2014-2,1,6,10,21,16,3,0,57
Maestría en Ingeniería de Sistemas y Computación,2014-2,0,3,14,14,24,5,0,60
Doctorado en Ingeniería,2015-1,0,0,1,4,11,8,2,26
Especialización en Redes de Datos,2015-1,0,1,0,2,3,1,0,7
Maestría en Ingeniería Eléctrica,2015-1,1,6,6,21,12,2,2,50
Maestría en Ingeniería de Sistemas y Computación,2015-1,0,3,18,15,32,5,0,73
Doctorado en Ingeniería,2015-2,0,0,1,3,12,8,2,26
Maestría en Ingeniería Eléctrica,2015-2,1,5,6,18,14,3,1,48
Maestría en Ingeniería de Sistemas y Computación,2015-2,0,3,16,14,25,5,0,63
Doctorado en Ingeniería,2016-1,0,0,2,7,15,7,3,34
Maestría en Ingeniería Eléctrica,2016-1,0,2,6,18,9,6,1,42
Maestría en Ingeniería de Sistemas y Computación,2016-1,0,2,10,7,10,6,1,36
Doctorado en Ingeniería,2016-2,0,0,3,5,16,9,3,36
Maestría en Ingeniería Eléctrica,2016-2,0,2,12,17,10,5,1,47
Maestría en Ingeniería de Sistemas y Computación,2016-2,0,2,11,7,13,5,1,39
Doctorado en Ingeniería,2017-1,0,0,3,8,17,8,3,39
Especialización en Redes de Datos,2017-1,0,0,0,2,4,0,0,6
Maestría en Ingeniería Eléctrica,2017-1,0,5,15,25,9,3,0,57
Maestría en Ingeniería de Sistemas y Computación,2017-1,0,4,18,10,20,6,2,60
Doctorado en Ingeniería,2017-2,0,0,3,7,17,7,3,37
Maestría en Ingeniería Eléctrica,2017-2,1,4,21,24,14,4,0,68
Maestría en Ingeniería de Sistemas y Computación,2017-2,0,3,16,13,15,7,3,57
Doctorado en Ingeniería,2018-1,0,0,3,7,17,7,3,37
Especialización en Redes de Datos,2018-1,0,0,0,3,1,0,0,4
Maestría en Ingeniería Eléctrica,2018-1,0,4,31,21,14,5,0,75
Maestría en Ingeniería de Sistemas y Computación,2018-1,0,3,22,13,18,7,2,65
Doctorado en Ingeniería,2018-2,0,0,3,6,17,7,2,35
Maestría en Ingeniería Eléctrica,2018-2,0,9,23,25,9,5,0,71
Maestría en Ingeniería de Sistemas y Computación,2018-2,0,2,26,15,14,12,2,71
Doctorado en Ingeniería,2019-1,0,0,3,6,19,5,3,36
Especialización en Redes de Datos,2019-1,0,0,4,2,1,0,1,8
Maestría en Ingeniería Eléctrica,2019-1,0,9,22,26,11,5,1,74
Maestría en Ingeniería de Sistemas y Computación,2019-1,0,1,25,21,14,13,3,77
Doctorado en Ingeniería,2019-2,0,0,2,7,18,4,3,34
Especialización en Electrónica Digital,2019-2,0,2,2,1,0,0,0,5
Especialización en Redes de Datos,2019-2,0,0,4,2,1,1,1,9
Maestría en Ingeniería Eléctrica,2019-2,0,5,16,22,11,1,1,56
Maestría en Ingeniería de Sistemas y Computación,2019-2,0,3,26,20,18,10,2,79
Doctorado en Ingeniería,2021-1,0,0,1,9,14,4,4,32
Especialización en Redes de Datos,2021-1,0,0,2,1,2,1,0,6
Maestría en Ingeniería Eléctrica,2021-1,2,13,33,37,14,3,0,102
Maestría en Ingeniería de Sistemas y Computación,2021-1,0,5,23,18,11,4,0,61
Doctorado en Ingeniería,2021-2,0,0,0,6,4,1,3,14
Especialización en Redes de Datos,2021-2,0,0,5,5,5,2,0,17
Maestría en Ingeniería Eléctrica,2021-2,2,6,20,14,3,0,0,45
Maestría en Ingeniería de Sistemas y Computación,2021-2,0,1,10,11,1,0,0,23