Programa,Semestre,Femenino,Masculino,Total
Doctorado en Ingeniería,2020-1,3,29,32
Especialización en Electrónica Digital,2020-1,1,4,5
Especialización en Redes de Datos,2020-1,0,1,1
Maestría en Ingeniería Eléctrica,2020-1,13,58,71
Maestría en Ingeniería de Sistemas y Computación,2020-1,18,67,85
Doctorado en Ingeniería,2020-2,4,28,32
Especialización en Electrónica Digital,2020-2,3,7,10
Especialización en Redes de Datos,2020-2,0,6,6
Maestría en Ingeniería Eléctrica,2020-2,19,87,106
Maestría en Ingeniería de Sistemas y Computación,2020-2,13,51,64
Especialización en Electrónica Digital,2010-1,1,6,7
Especialización en Redes de Datos,2010-1,2,13,15
Maestría en Ingeniería Eléctrica,2010-1,12,46,58
Especialización en Electrónica Digital,2010-2,1,6,7
Especialización en Redes de Datos,2010-2,0,17,17
Maestría en Ingeniería Eléctrica,2010-2,11,50,61
Maestría en Ingeniería de Sistemas y Computación,2010-2,5,20,25
Especialización en Electrónica Digital,2011-1,1,5,6
Especialización en Redes de Datos,2011-1,0,18,18
Maestría en Ingeniería Eléctrica,2011-1,9,64,73
Maestría en Ingeniería de Sistemas y Computación,2011-1,5,20,25
Doctorado en Ingeniería,2011-2,2,4,4
Especialización en Redes de Datos,2011-2,2,25,25
Maestría en Ingeniería Eléctrica,2011-2,6,49,49
Maestría en Ingeniería de Sistemas y Computación,2011-2,9,31,31
Doctorado en Ingeniería,2012-1,2,5,7
Especialización en Electrónica Digital,2012-1,1,5,6
Especialización en Redes de Datos,2012-1,0,18,18
Maestría en Ingeniería Eléctrica,2012-1,3,42,45
Doctorado en Ingeniería,2012-2,2,10,12
Especialización en Redes de Datos,2012-2,0,2,2
Maestría en Ingeniería Eléctrica,2012-2,5,40,45
Maestría en Ingeniería de Sistemas y Computación,2012-2,8,43,51
Doctorado en Ingeniería,2013-1,2,13,15
Especialización en Electrónica Digital,2013-1,1,5,6
Especialización en Redes de Datos,2013-1,0,7,7
Maestría en Ingeniería Eléctrica,2013-1,5,48,53
Maestría en Ingeniería de Sistemas y Computación,2013-1,5,34,39
Doctorado en Ingeniería,2013-2,1,17,18
Especialización en Redes de Datos,2013-2,1,9,10
Maestría en Ingeniería Eléctrica,2013-2,14,42,56
Maestría en Ingeniería de Sistemas y Computación,2013-2,7,39,46
Doctorado en Ingeniería,2014-1,1,23,24
Especialización en Redes de Datos,2014-1,2,7,9
Maestría en Ingeniería Eléctrica,2014-1,11,45,56
Maestría en Ingeniería de Sistemas y Computación,2014-1,14,53,67
Doctorado en Ingeniería,2014-2,1,22,23
Especialización en Redes de Datos,2014-2,1,9,10
Maestría en Ingeniería Eléctrica,2014-2,13,44,57
Maestría en Ingeniería de Sistemas y Computación,2014-2,12,48,60
Doctorado en Ingeniería,2015-1,2,24,26
Especialización en Redes de Datos,2015-1,1,6,7
Maestría en Ingeniería Eléctrica,2015-1,9,41,50
Maestría en Ingeniería de Sistemas y Computación,2015-1,11,62,73
Doctorado en Ingeniería,2015-2,2,24,26
Maestría en Ingeniería Eléctrica,2015-2,11,37,48
Maestría en Ingeniería de Sistemas y Computación,2015-2,8,55,63
Doctorado en Ingeniería,2016-1,2,32,34
Maestría en Ingeniería Eléctrica,2016-1,7,35,42
Maestría en Ingeniería de Sistemas y Computación,2016-1,6,30,36
Doctorado en Ingeniería,2016-2,3,33,36
Maestría en Ingeniería Eléctrica,2016-2,7,40,47
Maestría en Ingeniería de Sistemas y Computación,2016-2,6,33,39
Doctorado en Ingeniería,2017-1,3,36,39
Especialización en Redes de Datos,2017-1,0,6,6
Maestría en Ingeniería Eléctrica,2017-1,10,47,57
Maestría en Ingeniería de Sistemas y Computación,2017-1,15,45,60
Doctorado en Ingeniería,2017-2,3,34,37
Maestría en Ingeniería Eléctrica,2017-2,10,58,68
Maestría en Ingeniería de Sistemas y Computación,2017-2,14,43,57
Doctorado en Ingeniería,2018-1,3,34,37
Especialización en Redes de Datos,2018-1,0,4,4
Maestría en Ingeniería Eléctrica,2018-1,11,64,75
Maestría en Ingeniería de Sistemas y Computación,2018-1,17,48,65
Doctorado en Ingeniería,2018-2,3,32,35
Maestría en Ingeniería Eléctrica,2018-2,10,61,71
Maestría en Ingeniería de Sistemas y Computación,2018-2,14,57,71
Doctorado en Ingeniería,2019-1,3,33,36
Especialización en Redes de Datos,2019-1,0,8,8
Maestría en Ingeniería Eléctrica,2019-1,12,62,74
Maestría en Ingeniería de Sistemas y Computación,2019-1,14,63,77
Doctorado en Ingeniería,2019-2,2,32,34
Especialización en Electrónica Digital,2019-2,1,4,5
Especialización en Redes de Datos,2019-2,0,9,9
Maestría en Ingeniería Eléctrica,2019-2,13,43,56
Maestría en Ingeniería de Sistemas y Computación,2019-2,20,59,79
Doctorado en Ingeniería,2021-1,4,28,32
Especialización en Redes de Datos,2021-1,,6,6
Maestría en Ingeniería Eléctrica,2021-1,18,84,102
Maestría en Ingeniería de Sistemas y Computación,2021-1,14,47,61
Doctorado en Ingeniería,2021-2,2,12,14
Especialización en Redes de Datos,2021-2,0,17,17
Maestría en Ingeniería Eléctrica,2021-2,10,35,45
Maestría en Ingeniería de Sistemas y Computación,2021-2,4,19,23