Semestre ,General,RestoRisaralda,RegimenEspecial,Total
2021-2,352,18,19,389
2021-1,318,43,23,384
2020-2,307,19,31,357
2020-1,377,31,25,433
2019-2,281,12,22,315
2019-1,382,33,22,437
2018-2,242,14,19,275
2018-1,322,30,23,375
2017-2,279,13,18,310
2017-1,420,60,21,501
2016-2,316,18,16,350
2016-1,415,21,16,452
2015-2,228,10,13,251
2015-1,376,18,16,410
2014-2,223,11,12,246
2014-1,334,26,11,371
2013-2,173,5,3,181
2013-1,350,30,6,386
2012-2,282,8,12,302
2012-1,374,19,8,401
2011-2,281,22,12,315
2011-1,348,38,11,397
2010-2,288,26,8,322
2010-1,340,46,11,397